"","Time","SpeciesA","SpeciesB","SpeciesC","SpeciesD","SpeciesE","Temp","Rainfall","present"
"1",1,10,15,5.623413252,2,40,15.6017423819808,116,0
"2",2,15,22.5,7.621991222,4,42,17.6003203519808,10,1
"3",3,18,27,8.738851891,8,51,18.7171810209808,148,1
"4",4,20,30,9.45741609,16,65,19.4357452199808,157,0
"5",5,26,39,11.51410037,32,74,21.4924294999808,20,0
"6",6,35,52.5,14.38967659,64,65,21,30,0
"7",7,40,60,15.90541458,75,62,25.8837437099808,10,1
"8",8,39,58.5,15.60624625,60,53,25.5845753799808,10,0
"9",9,34,51,14.0802118,70,41,24.0585409299808,15,1
"10",10,46,69,17.66315881,71,38,27.6414879399808,11,0
"11",11,38,57,15.30515378,75,36,25.2834829099808,14,0
"12",12,50,75,18.80301547,72,32,28.7813445999808,16,1
"13",13,40,60,15.90541458,68,31,25.8837437099808,18,0
"14",14,35,52.5,14.38967659,69,25,24.3680057199808,105,1
"15",15,44,66,17.08399782,70,22,27.0623269499808,104,0
"16",16,39,58.5,15.60624625,70,26,25.5845753799808,112,0
"17",17,41,61.5,16.20271871,69,23,26.1810478399808,158,0
"18",18,40,60,15.90541458,70,25,25.8837437099808,964,0
"19",19,41,61.5,16.20271871,71,21,26.1810478399808,451,1
"20",20,39,58.5,15.60624625,69,22,25.5845753799808,120,1
"21",21,40,60,15.90541458,70,24,21,100,1
"22",22,38,57,15.30515378,70,18,25.2834829099808,80,0
"23",23,42,63,16.49821534,73,15,26.4765444699808,90,1
"24",24,40,60,15.90541458,70,14,25.8837437099808,50,0
"25",25,40,60,15.90541458,71,10,21,30,1
